timestamp,D1_Chicago_001_BATTERY
2019-01-07,37
2019-01-14,23
2019-01-21,29
2019-01-28,20
2019-02-04,26
2019-02-11,30
2019-02-18,7
2019-02-25,17
2019-03-04,22
2019-03-11,18
2019-03-18,45
2019-03-25,22
2019-04-01,28
2019-04-08,28
2019-04-15,23
2019-04-22,34
2019-04-29,22
2019-05-06,33
2019-05-13,30
2019-05-20,30
2019-05-27,29
2019-06-03,25
2019-06-10,33
2019-06-17,29
2019-06-24,39
2019-07-01,18
2019-07-08,30
2019-07-15,26
2019-07-22,22
2019-07-29,35
2019-08-05,51
2019-08-12,30
2019-08-19,22
2019-08-26,20
2019-09-02,34
2019-09-09,36
2019-09-16,33
2019-09-23,39
2019-09-30,31
2019-10-07,26
2019-10-14,23
2019-10-21,29
2019-10-28,34
2019-11-04,26
2019-11-11,27
2019-11-18,17
2019-11-25,20
2019-12-02,25
2019-12-09,30
2019-12-16,32
2019-12-23,30
2019-12-30,26
2020-01-06,33
2020-01-13,20
2020-01-20,20
2020-01-27,23
2020-02-03,9
2020-02-10,19
2020-02-17,23
2020-02-24,22
2020-03-02,25
2020-03-09,34
2020-03-16,24
2020-03-23,11
2020-03-30,9
2020-04-06,22
2020-04-13,6
2020-04-20,14
2020-04-27,8
2020-05-04,9
2020-05-11,16
2020-05-18,19
2020-05-25,18
2020-06-01,33
2020-06-08,15
2020-06-15,10
2020-06-22,24
2020-06-29,10
2020-07-06,30
2020-07-13,24
2020-07-20,23
2020-07-27,24
2020-08-03,22
2020-08-10,17
2020-08-17,31
2020-08-24,18
2020-08-31,17
2020-09-07,19
2020-09-14,15
2020-09-21,18
2020-09-28,14
2020-10-05,22
2020-10-12,24
2020-10-19,20
2020-10-26,12
2020-11-02,16
2020-11-09,16
2020-11-16,22
2020-11-23,14
2020-11-30,9
2020-12-07,11
2020-12-14,22
2020-12-21,14
2020-12-28,13
2021-01-04,19
2021-01-11,18
2021-01-18,15
2021-01-25,13
2021-02-01,17
2021-02-08,14
2021-02-15,16
2021-02-22,15
2021-03-01,13
2021-03-08,30
2021-03-15,16
2021-03-22,18
2021-03-29,22
2021-04-05,28
2021-04-12,16
2021-04-19,20
2021-04-26,18
2021-05-03,36
2021-05-10,21
2021-05-17,20
2021-05-24,17
2021-05-31,23
2021-06-07,30
2021-06-14,31
2021-06-21,20
2021-06-28,30
2021-07-05,32
2021-07-12,23
2021-07-19,33
2021-07-26,37
2021-08-02,28
2021-08-09,24
2021-08-16,27
2021-08-23,34
2021-08-30,35
2021-09-06,28
2021-09-13,35
2021-09-20,34
2021-09-27,21
2021-10-04,32
2021-10-11,35
2021-10-18,34
2021-10-25,29
2021-11-01,29
2021-11-08,30
2021-11-15,13
2021-11-22,36
2021-11-29,33
2021-12-06,27
2021-12-13,30
2021-12-20,33
2021-12-27,24
2022-01-03,21
2022-01-10,21
2022-01-17,13
2022-01-24,23
2022-01-31,21
2022-02-07,22
2022-02-14,22
2022-02-21,12
2022-02-28,23
2022-03-07,34
2022-03-14,32
2022-03-21,35
2022-03-28,34
2022-04-04,23
2022-04-11,35
2022-04-18,39
2022-04-25,30
2022-05-02,32
2022-05-09,22
2022-05-16,40
2022-05-23,25
2022-05-30,47
2022-06-06,44
2022-06-13,30
2022-06-20,34
2022-06-27,40
2022-07-04,38
2022-07-11,36
2022-07-18,26
2022-07-25,24
2022-08-01,25
2022-08-08,28
2022-08-15,40
2022-08-22,42
2022-08-29,29
2022-09-05,28
2022-09-12,26
2022-09-19,39
2022-09-26,31
2022-10-03,31
2022-10-10,29
2022-10-17,23
2022-10-24,32
2022-10-31,36
2022-11-07,24
2022-11-14,12
2022-11-21,15
2022-11-28,31
2022-12-05,25
2022-12-12,25
2022-12-19,38
2022-12-26,15
2023-01-02,27
2023-01-09,20
2023-01-16,24
2023-01-23,42
2023-01-30,22
2023-02-06,31
2023-02-13,29
2023-02-20,26
2023-02-27,35
2023-03-06,20
2023-03-13,41
2023-03-20,22
2023-03-27,30
2023-04-03,38
2023-04-10,18
2023-04-17,25
2023-04-24,30
2023-05-01,26
2023-05-08,28
2023-05-15,27
2023-05-22,31
2023-05-29,29
2023-06-05,24
2023-06-12,24
2023-06-19,27
2023-06-26,20
2023-07-03,33
2023-07-10,25
2023-07-17,27
2023-07-24,31
2023-07-31,19
2023-08-07,45
2023-08-14,39
2023-08-21,28
2023-08-28,26
2023-09-04,46
2023-09-11,25
2023-09-18,35
2023-09-25,34
2023-10-02,35
2023-10-09,32
2023-10-16,23
2023-10-23,24
2023-10-30,28
2023-11-06,25
2023-11-13,33
2023-11-20,38
2023-11-27,24
2023-12-04,20
2023-12-11,32
2023-12-18,38
2023-12-25,22
2024-01-01,33
2024-01-08,25
2024-01-15,29
2024-01-22,16
2024-01-29,21
2024-02-05,28
2024-02-12,17
2024-02-19,24
2024-02-26,24
2024-03-04,30
2024-03-11,35
2024-03-18,35
2024-03-25,33
2024-04-01,29
2024-04-08,30
2024-04-15,70
2024-04-22,27
2024-04-29,21
2024-05-06,37
2024-05-13,35
2024-05-20,43
2024-05-27,43
2024-06-03,43
2024-06-10,52
2024-06-17,39
2024-06-24,35
2024-07-01,18
