timestamp,D1_Chicago_District_011
2019-01-07,386
2019-01-14,251
2019-01-21,249
2019-01-28,197
2019-02-04,291
2019-02-11,305
2019-02-18,284
2019-02-25,220
2019-03-04,265
2019-03-11,248
2019-03-18,255
2019-03-25,259
2019-04-01,329
2019-04-08,309
2019-04-15,321
2019-04-22,327
2019-04-29,312
2019-05-06,297
2019-05-13,321
2019-05-20,303
2019-05-27,325
2019-06-03,375
2019-06-10,254
2019-06-17,327
2019-06-24,302
2019-07-01,314
2019-07-08,320
2019-07-15,344
2019-07-22,286
2019-07-29,412
2019-08-05,369
2019-08-12,343
2019-08-19,341
2019-08-26,351
2019-09-02,315
2019-09-09,289
2019-09-16,284
2019-09-23,269
2019-09-30,267
2019-10-07,299
2019-10-14,266
2019-10-21,282
2019-10-28,289
2019-11-04,282
2019-11-11,237
2019-11-18,279
2019-11-25,274
2019-12-02,231
2019-12-09,232
2019-12-16,204
2019-12-23,250
2019-12-30,269
2020-01-06,245
2020-01-13,233
2020-01-20,255
2020-01-27,251
2020-02-03,351
2020-02-10,279
2020-02-17,240
2020-02-24,256
2020-03-02,273
2020-03-09,284
2020-03-16,230
2020-03-23,215
2020-03-30,155
2020-04-06,179
2020-04-13,147
2020-04-20,159
2020-04-27,175
2020-05-04,207
2020-05-11,180
2020-05-18,195
2020-05-25,262
2020-06-01,319
2020-06-08,210
2020-06-15,253
2020-06-22,271
2020-06-29,234
2020-07-06,261
2020-07-13,284
2020-07-20,274
2020-07-27,267
2020-08-03,248
2020-08-10,307
2020-08-17,219
2020-08-24,254
2020-08-31,278
2020-09-07,291
2020-09-14,214
2020-09-21,287
2020-09-28,231
2020-10-05,229
2020-10-12,269
2020-10-19,253
2020-10-26,241
2020-11-02,244
2020-11-09,230
2020-11-16,201
2020-11-23,223
2020-11-30,205
2020-12-07,245
2020-12-14,174
2020-12-21,204
2020-12-28,216
2021-01-04,225
2021-01-11,224
2021-01-18,175
2021-01-25,175
2021-02-01,175
2021-02-08,205
2021-02-15,197
2021-02-22,162
2021-03-01,275
2021-03-08,226
2021-03-15,248
2021-03-22,241
2021-03-29,271
2021-04-05,254
2021-04-12,289
2021-04-19,240
2021-04-26,205
2021-05-03,279
2021-05-10,241
2021-05-17,220
2021-05-24,324
2021-05-31,219
2021-06-07,298
2021-06-14,288
2021-06-21,304
2021-06-28,222
2021-07-05,262
2021-07-12,203
2021-07-19,180
2021-07-26,259
2021-08-02,261
2021-08-09,266
2021-08-16,245
2021-08-23,237
2021-08-30,191
2021-09-06,234
2021-09-13,199
2021-09-20,245
2021-09-27,258
2021-10-04,221
2021-10-11,230
2021-10-18,185
2021-10-25,196
2021-11-01,208
2021-11-08,183
2021-11-15,179
2021-11-22,188
2021-11-29,161
2021-12-06,179
2021-12-13,158
2021-12-20,181
2021-12-27,153
2022-01-03,160
2022-01-10,118
2022-01-17,168
2022-01-24,131
2022-01-31,176
2022-02-07,195
2022-02-14,184
2022-02-21,206
2022-02-28,229
2022-03-07,162
2022-03-14,209
2022-03-21,220
2022-03-28,235
2022-04-04,212
2022-04-11,254
2022-04-18,187
2022-04-25,267
2022-05-02,185
2022-05-09,188
2022-05-16,245
2022-05-23,229
2022-05-30,218
2022-06-06,192
2022-06-13,220
2022-06-20,200
2022-06-27,221
2022-07-04,288
2022-07-11,224
2022-07-18,191
2022-07-25,212
2022-08-01,229
2022-08-08,213
2022-08-15,223
2022-08-22,217
2022-08-29,213
2022-09-05,225
2022-09-12,249
2022-09-19,234
2022-09-26,220
2022-10-03,251
2022-10-10,244
2022-10-17,238
2022-10-24,269
2022-10-31,226
2022-11-07,257
2022-11-14,212
2022-11-21,183
2022-11-28,230
2022-12-05,196
2022-12-12,252
2022-12-19,241
2022-12-26,164
2023-01-02,240
2023-01-09,214
2023-01-16,242
2023-01-23,218
2023-01-30,247
2023-02-06,201
2023-02-13,242
2023-02-20,233
2023-02-27,161
2023-03-06,183
2023-03-13,198
2023-03-20,203
2023-03-27,211
2023-04-03,233
2023-04-10,210
2023-04-17,228
2023-04-24,199
2023-05-01,184
2023-05-08,181
2023-05-15,203
2023-05-22,254
2023-05-29,253
2023-06-05,221
2023-06-12,249
2023-06-19,291
2023-06-26,258
2023-07-03,238
2023-07-10,253
2023-07-17,247
2023-07-24,237
2023-07-31,262
2023-08-07,233
2023-08-14,251
2023-08-21,252
2023-08-28,252
2023-09-04,227
2023-09-11,230
2023-09-18,219
2023-09-25,253
2023-10-02,304
2023-10-09,199
2023-10-16,236
2023-10-23,243
2023-10-30,188
2023-11-06,264
2023-11-13,222
2023-11-20,222
2023-11-27,226
2023-12-04,244
2023-12-11,221
2023-12-18,217
2023-12-25,169
2024-01-01,239
2024-01-08,246
2024-01-15,190
2024-01-22,181
2024-01-29,184
2024-02-05,210
2024-02-12,184
2024-02-19,195
2024-02-26,236
2024-03-04,199
2024-03-11,216
2024-03-18,247
2024-03-25,223
2024-04-01,172
2024-04-08,182
2024-04-15,243
2024-04-22,196
2024-04-29,196
2024-05-06,204
2024-05-13,198
2024-05-20,260
2024-05-27,219
2024-06-03,231
2024-06-10,266
2024-06-17,237
2024-06-24,240
2024-07-01,155
