timestamp,D3_SFPD_Mission
2019-01-07,311
2019-01-14,324
2019-01-21,337
2019-01-28,346
2019-02-04,352
2019-02-11,314
2019-02-18,311
2019-02-25,372
2019-03-04,318
2019-03-11,316
2019-03-18,370
2019-03-25,306
2019-04-01,375
2019-04-08,362
2019-04-15,345
2019-04-22,325
2019-04-29,321
2019-05-06,333
2019-05-13,379
2019-05-20,348
2019-05-27,324
2019-06-03,374
2019-06-10,364
2019-06-17,342
2019-06-24,317
2019-07-01,344
2019-07-08,361
2019-07-15,353
2019-07-22,392
2019-07-29,375
2019-08-05,358
2019-08-12,335
2019-08-19,408
2019-08-26,395
2019-09-02,372
2019-09-09,383
2019-09-16,387
2019-09-23,354
2019-09-30,422
2019-10-07,389
2019-10-14,354
2019-10-21,339
2019-10-28,420
2019-11-04,390
2019-11-11,400
2019-11-18,331
2019-11-25,358
2019-12-02,278
2019-12-09,324
2019-12-16,359
2019-12-23,286
2019-12-30,307
2020-01-06,271
2020-01-13,328
2020-01-20,366
2020-01-27,352
2020-02-03,406
2020-02-10,392
2020-02-17,361
2020-02-24,364
2020-03-02,348
2020-03-09,389
2020-03-16,343
2020-03-23,213
2020-03-30,186
2020-04-06,246
2020-04-13,223
2020-04-20,246
2020-04-27,269
2020-05-04,278
2020-05-11,261
2020-05-18,229
2020-05-25,245
2020-06-01,235
2020-06-08,227
2020-06-15,243
2020-06-22,228
2020-06-29,242
2020-07-06,268
2020-07-13,259
2020-07-20,239
2020-07-27,194
2020-08-03,268
2020-08-10,248
2020-08-17,249
2020-08-24,249
2020-08-31,237
2020-09-07,224
2020-09-14,253
2020-09-21,240
2020-09-28,265
2020-10-05,241
2020-10-12,214
2020-10-19,254
2020-10-26,263
2020-11-02,253
2020-11-09,268
2020-11-16,245
2020-11-23,233
2020-11-30,238
2020-12-07,260
2020-12-14,222
2020-12-21,242
2020-12-28,237
2021-01-04,257
2021-01-11,269
2021-01-18,263
2021-01-25,277
2021-02-01,227
2021-02-08,270
2021-02-15,288
2021-02-22,271
2021-03-01,278
2021-03-08,250
2021-03-15,262
2021-03-22,268
2021-03-29,232
2021-04-05,229
2021-04-12,207
2021-04-19,239
2021-04-26,281
2021-05-03,259
2021-05-10,261
2021-05-17,277
2021-05-24,252
2021-05-31,273
2021-06-07,281
2021-06-14,251
2021-06-21,282
2021-06-28,331
2021-07-05,291
2021-07-12,278
2021-07-19,289
2021-07-26,314
2021-08-02,302
2021-08-09,308
2021-08-16,306
2021-08-23,295
2021-08-30,292
2021-09-06,276
2021-09-13,266
2021-09-20,297
2021-09-27,296
2021-10-04,328
2021-10-11,309
2021-10-18,277
2021-10-25,297
2021-11-01,327
2021-11-08,345
2021-11-15,315
2021-11-22,364
2021-11-29,355
2021-12-06,365
2021-12-13,346
2021-12-20,275
2021-12-27,263
2022-01-03,311
2022-01-10,280
2022-01-17,320
2022-01-24,341
2022-01-31,276
2022-02-07,274
2022-02-14,308
2022-02-21,270
2022-02-28,266
2022-03-07,291
2022-03-14,285
2022-03-21,331
2022-03-28,259
2022-04-04,336
2022-04-11,289
2022-04-18,291
2022-04-25,272
2022-05-02,280
2022-05-09,277
2022-05-16,273
2022-05-23,287
2022-05-30,261
2022-06-06,293
2022-06-13,246
2022-06-20,319
2022-06-27,339
2022-07-04,283
2022-07-11,307
2022-07-18,270
2022-07-25,289
2022-08-01,287
2022-08-08,323
2022-08-15,293
2022-08-22,311
2022-08-29,256
2022-09-05,335
2022-09-12,295
2022-09-19,290
2022-09-26,328
2022-10-03,337
2022-10-10,320
2022-10-17,297
2022-10-24,262
2022-10-31,362
2022-11-07,320
2022-11-14,337
2022-11-21,285
2022-11-28,269
2022-12-05,286
2022-12-12,274
2022-12-19,239
2022-12-26,262
2023-01-02,283
2023-01-09,275
2023-01-16,331
2023-01-23,306
2023-01-30,295
2023-02-06,287
2023-02-13,247
2023-02-20,293
2023-02-27,285
2023-03-06,333
2023-03-13,253
2023-03-20,333
2023-03-27,289
2023-04-03,322
2023-04-10,339
2023-04-17,288
2023-04-24,279
2023-05-01,296
2023-05-08,285
2023-05-15,253
2023-05-22,277
2023-05-29,342
2023-06-05,324
2023-06-12,256
2023-06-19,259
2023-06-26,310
2023-07-03,288
2023-07-10,287
2023-07-17,318
2023-07-24,309
2023-07-31,319
2023-08-07,287
2023-08-14,289
2023-08-21,319
2023-08-28,270
2023-09-04,299
2023-09-11,288
2023-09-18,269
2023-09-25,347
2023-10-02,291
2023-10-09,266
2023-10-16,298
2023-10-23,297
2023-10-30,275
2023-11-06,304
2023-11-13,257
2023-11-20,288
2023-11-27,252
2023-12-04,323
2023-12-11,239
2023-12-18,233
2023-12-25,250
2024-01-01,290
2024-01-08,231
2024-01-15,268
2024-01-22,242
2024-01-29,258
2024-02-05,278
2024-02-12,254
2024-02-19,282
2024-02-26,306
2024-03-04,264
2024-03-11,319
2024-03-18,260
2024-03-25,289
2024-04-01,252
2024-04-08,256
2024-04-15,221
2024-04-22,296
2024-04-29,292
2024-05-06,254
2024-05-13,305
2024-05-20,286
2024-05-27,278
2024-06-03,326
2024-06-10,254
2024-06-17,268
2024-06-24,276
2024-07-01,268
