timestamp,D1_Chicago_001_THEFT
2019-01-07,127
2019-01-14,116
2019-01-21,101
2019-01-28,81
2019-02-04,81
2019-02-11,76
2019-02-18,146
2019-02-25,141
2019-03-04,71
2019-03-11,99
2019-03-18,121
2019-03-25,118
2019-04-01,148
2019-04-08,137
2019-04-15,117
2019-04-22,70
2019-04-29,77
2019-05-06,83
2019-05-13,117
2019-05-20,83
2019-05-27,107
2019-06-03,92
2019-06-10,163
2019-06-17,97
2019-06-24,148
2019-07-01,162
2019-07-08,104
2019-07-15,156
2019-07-22,93
2019-07-29,106
2019-08-05,361
2019-08-12,107
2019-08-19,86
2019-08-26,134
2019-09-02,121
2019-09-09,109
2019-09-16,125
2019-09-23,108
2019-09-30,128
2019-10-07,113
2019-10-14,110
2019-10-21,126
2019-10-28,85
2019-11-04,139
2019-11-11,77
2019-11-18,94
2019-11-25,127
2019-12-02,91
2019-12-09,126
2019-12-16,108
2019-12-23,73
2019-12-30,95
2020-01-06,59
2020-01-13,95
2020-01-20,63
2020-01-27,110
2020-02-03,96
2020-02-10,73
2020-02-17,83
2020-02-24,80
2020-03-02,47
2020-03-09,71
2020-03-16,79
2020-03-23,34
2020-03-30,20
2020-04-06,20
2020-04-13,24
2020-04-20,10
2020-04-27,26
2020-05-04,34
2020-05-11,9
2020-05-18,32
2020-05-25,29
2020-06-01,43
2020-06-08,23
2020-06-15,21
2020-06-22,32
2020-06-29,38
2020-07-06,47
2020-07-13,42
2020-07-20,37
2020-07-27,36
2020-08-03,42
2020-08-10,29
2020-08-17,35
2020-08-24,61
2020-08-31,54
2020-09-07,54
2020-09-14,40
2020-09-21,40
2020-09-28,25
2020-10-05,31
2020-10-12,44
2020-10-19,47
2020-10-26,22
2020-11-02,19
2020-11-09,33
2020-11-16,36
2020-11-23,28
2020-11-30,27
2020-12-07,36
2020-12-14,17
2020-12-21,37
2020-12-28,27
2021-01-04,19
2021-01-11,29
2021-01-18,31
2021-01-25,39
2021-02-01,14
2021-02-08,19
2021-02-15,22
2021-02-22,30
2021-03-01,32
2021-03-08,22
2021-03-15,21
2021-03-22,27
2021-03-29,20
2021-04-05,26
2021-04-12,28
2021-04-19,19
2021-04-26,26
2021-05-03,41
2021-05-10,26
2021-05-17,49
2021-05-24,41
2021-05-31,34
2021-06-07,44
2021-06-14,38
2021-06-21,39
2021-06-28,78
2021-07-05,37
2021-07-12,60
2021-07-19,62
2021-07-26,58
2021-08-02,375
2021-08-09,55
2021-08-16,43
2021-08-23,47
2021-08-30,59
2021-09-06,51
2021-09-13,44
2021-09-20,42
2021-09-27,41
2021-10-04,44
2021-10-11,37
2021-10-18,41
2021-10-25,62
2021-11-01,60
2021-11-08,53
2021-11-15,46
2021-11-22,61
2021-11-29,73
2021-12-06,25
2021-12-13,53
2021-12-20,78
2021-12-27,59
2022-01-03,40
2022-01-10,50
2022-01-17,70
2022-01-24,78
2022-01-31,67
2022-02-07,69
2022-02-14,64
2022-02-21,73
2022-02-28,62
2022-03-07,54
2022-03-14,64
2022-03-21,98
2022-03-28,45
2022-04-04,100
2022-04-11,55
2022-04-18,58
2022-04-25,94
2022-05-02,46
2022-05-09,76
2022-05-16,76
2022-05-23,80
2022-05-30,87
2022-06-06,79
2022-06-13,56
2022-06-20,95
2022-06-27,107
2022-07-04,91
2022-07-11,106
2022-07-18,108
2022-07-25,111
2022-08-01,491
2022-08-08,57
2022-08-15,74
2022-08-22,73
2022-08-29,72
2022-09-05,85
2022-09-12,90
2022-09-19,101
2022-09-26,81
2022-10-03,60
2022-10-10,87
2022-10-17,82
2022-10-24,86
2022-10-31,79
2022-11-07,106
2022-11-14,64
2022-11-21,117
2022-11-28,70
2022-12-05,88
2022-12-12,43
2022-12-19,102
2022-12-26,50
2023-01-02,82
2023-01-09,83
2023-01-16,65
2023-01-23,86
2023-01-30,81
2023-02-06,43
2023-02-13,52
2023-02-20,81
2023-02-27,51
2023-03-06,61
2023-03-13,53
2023-03-20,67
2023-03-27,73
2023-04-03,84
2023-04-10,52
2023-04-17,99
2023-04-24,70
2023-05-01,68
2023-05-08,96
2023-05-15,66
2023-05-22,91
2023-05-29,72
2023-06-05,103
2023-06-12,79
2023-06-19,67
2023-06-26,81
2023-07-03,66
2023-07-10,86
2023-07-17,87
2023-07-24,86
2023-07-31,64
2023-08-07,269
2023-08-14,97
2023-08-21,76
2023-08-28,68
2023-09-04,63
2023-09-11,45
2023-09-18,86
2023-09-25,65
2023-10-02,91
2023-10-09,86
2023-10-16,84
2023-10-23,113
2023-10-30,67
2023-11-06,86
2023-11-13,77
2023-11-20,87
2023-11-27,86
2023-12-04,91
2023-12-11,98
2023-12-18,105
2023-12-25,73
2024-01-01,73
2024-01-08,61
2024-01-15,71
2024-01-22,84
2024-01-29,117
2024-02-05,73
2024-02-12,42
2024-02-19,21
2024-02-26,46
2024-03-04,62
2024-03-11,59
2024-03-18,82
2024-03-25,72
2024-04-01,75
2024-04-08,65
2024-04-15,69
2024-04-22,75
2024-04-29,66
2024-05-06,81
2024-05-13,68
2024-05-20,102
2024-05-27,99
2024-06-03,96
2024-06-10,93
2024-06-17,110
2024-06-24,117
2024-07-01,73
