timestamp,D1_Chicago_District_018
2019-01-07,263
2019-01-14,208
2019-01-21,209
2019-01-28,188
2019-02-04,219
2019-02-11,210
2019-02-18,221
2019-02-25,195
2019-03-04,177
2019-03-11,202
2019-03-18,241
2019-03-25,223
2019-04-01,224
2019-04-08,237
2019-04-15,238
2019-04-22,218
2019-04-29,218
2019-05-06,270
2019-05-13,243
2019-05-20,224
2019-05-27,264
2019-06-03,256
2019-06-10,319
2019-06-17,301
2019-06-24,307
2019-07-01,263
2019-07-08,255
2019-07-15,280
2019-07-22,258
2019-07-29,241
2019-08-05,338
2019-08-12,232
2019-08-19,305
2019-08-26,242
2019-09-02,229
2019-09-09,189
2019-09-16,212
2019-09-23,196
2019-09-30,239
2019-10-07,244
2019-10-14,225
2019-10-21,252
2019-10-28,216
2019-11-04,186
2019-11-11,227
2019-11-18,231
2019-11-25,249
2019-12-02,210
2019-12-09,265
2019-12-16,260
2019-12-23,269
2019-12-30,152
2020-01-06,226
2020-01-13,201
2020-01-20,192
2020-01-27,258
2020-02-03,220
2020-02-10,189
2020-02-17,246
2020-02-24,145
2020-03-02,171
2020-03-09,214
2020-03-16,144
2020-03-23,96
2020-03-30,87
2020-04-06,72
2020-04-13,90
2020-04-20,52
2020-04-27,66
2020-05-04,75
2020-05-11,78
2020-05-18,87
2020-05-25,77
2020-06-01,305
2020-06-08,83
2020-06-15,99
2020-06-22,91
2020-06-29,115
2020-07-06,151
2020-07-13,134
2020-07-20,160
2020-07-27,138
2020-08-03,174
2020-08-10,355
2020-08-17,119
2020-08-24,123
2020-08-31,156
2020-09-07,106
2020-09-14,160
2020-09-21,145
2020-09-28,157
2020-10-05,107
2020-10-12,147
2020-10-19,145
2020-10-26,144
2020-11-02,89
2020-11-09,156
2020-11-16,116
2020-11-23,124
2020-11-30,92
2020-12-07,96
2020-12-14,109
2020-12-21,107
2020-12-28,111
2021-01-04,129
2021-01-11,102
2021-01-18,108
2021-01-25,130
2021-02-01,118
2021-02-08,118
2021-02-15,94
2021-02-22,98
2021-03-01,99
2021-03-08,122
2021-03-15,102
2021-03-22,113
2021-03-29,93
2021-04-05,89
2021-04-12,107
2021-04-19,111
2021-04-26,112
2021-05-03,155
2021-05-10,108
2021-05-17,149
2021-05-24,168
2021-05-31,144
2021-06-07,163
2021-06-14,176
2021-06-21,166
2021-06-28,199
2021-07-05,209
2021-07-12,179
2021-07-19,178
2021-07-26,163
2021-08-02,246
2021-08-09,196
2021-08-16,180
2021-08-23,192
2021-08-30,245
2021-09-06,228
2021-09-13,196
2021-09-20,218
2021-09-27,189
2021-10-04,224
2021-10-11,216
2021-10-18,234
2021-10-25,208
2021-11-01,219
2021-11-08,202
2021-11-15,184
2021-11-22,176
2021-11-29,195
2021-12-06,187
2021-12-13,184
2021-12-20,185
2021-12-27,116
2022-01-03,201
2022-01-10,137
2022-01-17,171
2022-01-24,183
2022-01-31,134
2022-02-07,146
2022-02-14,141
2022-02-21,171
2022-02-28,146
2022-03-07,183
2022-03-14,203
2022-03-21,170
2022-03-28,199
2022-04-04,172
2022-04-11,174
2022-04-18,145
2022-04-25,176
2022-05-02,185
2022-05-09,223
2022-05-16,235
2022-05-23,211
2022-05-30,225
2022-06-06,143
2022-06-13,261
2022-06-20,223
2022-06-27,249
2022-07-04,233
2022-07-11,213
2022-07-18,252
2022-07-25,245
2022-08-01,269
2022-08-08,217
2022-08-15,238
2022-08-22,208
2022-08-29,249
2022-09-05,214
2022-09-12,197
2022-09-19,238
2022-09-26,232
2022-10-03,252
2022-10-10,215
2022-10-17,214
2022-10-24,229
2022-10-31,210
2022-11-07,205
2022-11-14,155
2022-11-21,246
2022-11-28,188
2022-12-05,180
2022-12-12,209
2022-12-19,183
2022-12-26,130
2023-01-02,230
2023-01-09,223
2023-01-16,210
2023-01-23,199
2023-01-30,162
2023-02-06,202
2023-02-13,205
2023-02-20,166
2023-02-27,193
2023-03-06,207
2023-03-13,218
2023-03-20,179
2023-03-27,190
2023-04-03,191
2023-04-10,176
2023-04-17,245
2023-04-24,175
2023-05-01,174
2023-05-08,203
2023-05-15,250
2023-05-22,215
2023-05-29,214
2023-06-05,208
2023-06-12,183
2023-06-19,203
2023-06-26,208
2023-07-03,222
2023-07-10,254
2023-07-17,291
2023-07-24,244
2023-07-31,240
2023-08-07,249
2023-08-14,257
2023-08-21,226
2023-08-28,252
2023-09-04,250
2023-09-11,197
2023-09-18,203
2023-09-25,224
2023-10-02,266
2023-10-09,186
2023-10-16,213
2023-10-23,205
2023-10-30,265
2023-11-06,214
2023-11-13,187
2023-11-20,220
2023-11-27,172
2023-12-04,205
2023-12-11,216
2023-12-18,216
2023-12-25,221
2024-01-01,201
2024-01-08,200
2024-01-15,181
2024-01-22,178
2024-01-29,214
2024-02-05,200
2024-02-12,243
2024-02-19,184
2024-02-26,199
2024-03-04,159
2024-03-11,194
2024-03-18,217
2024-03-25,222
2024-04-01,180
2024-04-08,180
2024-04-15,258
2024-04-22,204
2024-04-29,183
2024-05-06,227
2024-05-13,248
2024-05-20,227
2024-05-27,237
2024-06-03,215
2024-06-10,243
2024-06-17,248
2024-06-24,251
2024-07-01,175
