timestamp,D2_NYPD_Precinct_075
2019-01-07,285
2019-01-14,237
2019-01-21,233
2019-01-28,261
2019-02-04,265
2019-02-11,262
2019-02-18,226
2019-02-25,220
2019-03-04,216
2019-03-11,227
2019-03-18,264
2019-03-25,264
2019-04-01,246
2019-04-08,263
2019-04-15,286
2019-04-22,257
2019-04-29,253
2019-05-06,309
2019-05-13,281
2019-05-20,265
2019-05-27,309
2019-06-03,281
2019-06-10,284
2019-06-17,273
2019-06-24,284
2019-07-01,280
2019-07-08,299
2019-07-15,308
2019-07-22,310
2019-07-29,261
2019-08-05,296
2019-08-12,302
2019-08-19,301
2019-08-26,245
2019-09-02,325
2019-09-09,285
2019-09-16,319
2019-09-23,325
2019-09-30,307
2019-10-07,325
2019-10-14,269
2019-10-21,252
2019-10-28,278
2019-11-04,279
2019-11-11,292
2019-11-18,251
2019-11-25,262
2019-12-02,258
2019-12-09,270
2019-12-16,265
2019-12-23,256
2019-12-30,212
2020-01-06,301
2020-01-13,257
2020-01-20,254
2020-01-27,298
2020-02-03,287
2020-02-10,281
2020-02-17,271
2020-02-24,295
2020-03-02,286
2020-03-09,266
2020-03-16,290
2020-03-23,195
2020-03-30,207
2020-04-06,167
2020-04-13,176
2020-04-20,218
2020-04-27,201
2020-05-04,210
2020-05-11,207
2020-05-18,222
2020-05-25,215
2020-06-01,239
2020-06-08,237
2020-06-15,230
2020-06-22,269
2020-06-29,233
2020-07-06,243
2020-07-13,249
2020-07-20,277
2020-07-27,267
2020-08-03,253
2020-08-10,238
2020-08-17,268
2020-08-24,249
2020-08-31,237
2020-09-07,284
2020-09-14,251
2020-09-21,269
2020-09-28,279
2020-10-05,249
2020-10-12,270
2020-10-19,273
2020-10-26,236
2020-11-02,249
2020-11-09,282
2020-11-16,231
2020-11-23,237
2020-11-30,241
2020-12-07,221
2020-12-14,239
2020-12-21,204
2020-12-28,179
2021-01-04,248
2021-01-11,257
2021-01-18,239
2021-01-25,230
2021-02-01,207
2021-02-08,209
2021-02-15,208
2021-02-22,208
2021-03-01,263
2021-03-08,241
2021-03-15,241
2021-03-22,220
2021-03-29,240
2021-04-05,191
2021-04-12,226
2021-04-19,248
2021-04-26,167
