timestamp,D3_SFPD_Central
2019-01-07,438
2019-01-14,408
2019-01-21,418
2019-01-28,467
2019-02-04,451
2019-02-11,391
2019-02-18,412
2019-02-25,465
2019-03-04,379
2019-03-11,372
2019-03-18,395
2019-03-25,410
2019-04-01,374
2019-04-08,403
2019-04-15,403
2019-04-22,373
2019-04-29,364
2019-05-06,397
2019-05-13,426
2019-05-20,411
2019-05-27,428
2019-06-03,404
2019-06-10,439
2019-06-17,403
2019-06-24,417
2019-07-01,580
2019-07-08,496
2019-07-15,509
2019-07-22,476
2019-07-29,522
2019-08-05,488
2019-08-12,462
2019-08-19,464
2019-08-26,490
2019-09-02,481
2019-09-09,433
2019-09-16,374
2019-09-23,422
2019-09-30,477
2019-10-07,460
2019-10-14,449
2019-10-21,505
2019-10-28,427
2019-11-04,412
2019-11-11,432
2019-11-18,400
2019-11-25,449
2019-12-02,387
2019-12-09,469
2019-12-16,369
2019-12-23,416
2019-12-30,392
2020-01-06,386
2020-01-13,417
2020-01-20,384
2020-01-27,394
2020-02-03,434
2020-02-10,345
2020-02-17,348
2020-02-24,413
2020-03-02,348
2020-03-09,347
2020-03-16,310
2020-03-23,186
2020-03-30,167
2020-04-06,158
2020-04-13,228
2020-04-20,221
2020-04-27,180
2020-05-04,189
2020-05-11,196
2020-05-18,207
2020-05-25,181
2020-06-01,365
2020-06-08,186
2020-06-15,181
2020-06-22,186
2020-06-29,259
2020-07-06,234
2020-07-13,231
2020-07-20,252
2020-07-27,198
2020-08-03,276
2020-08-10,267
2020-08-17,293
2020-08-24,258
2020-08-31,238
2020-09-07,282
2020-09-14,232
2020-09-21,222
2020-09-28,207
2020-10-05,237
2020-10-12,264
2020-10-19,249
2020-10-26,311
2020-11-02,311
2020-11-09,256
2020-11-16,232
2020-11-23,297
2020-11-30,267
2020-12-07,243
2020-12-14,253
2020-12-21,258
2020-12-28,252
2021-01-04,261
2021-01-11,295
2021-01-18,266
2021-01-25,237
2021-02-01,265
2021-02-08,240
2021-02-15,284
2021-02-22,282
2021-03-01,292
2021-03-08,256
2021-03-15,312
2021-03-22,257
2021-03-29,347
2021-04-05,335
2021-04-12,292
2021-04-19,303
2021-04-26,318
2021-05-03,322
2021-05-10,390
2021-05-17,457
2021-05-24,441
2021-05-31,434
2021-06-07,443
2021-06-14,351
2021-06-21,458
2021-06-28,434
2021-07-05,485
2021-07-12,420
2021-07-19,366
2021-07-26,342
2021-08-02,343
2021-08-09,293
2021-08-16,327
2021-08-23,359
2021-08-30,381
2021-09-06,396
2021-09-13,376
2021-09-20,334
2021-09-27,426
2021-10-04,446
2021-10-11,491
2021-10-18,516
2021-10-25,436
2021-11-01,477
2021-11-08,399
2021-11-15,425
2021-11-22,415
2021-11-29,452
2021-12-06,428
2021-12-13,368
2021-12-20,345
2021-12-27,339
2022-01-03,309
2022-01-10,286
2022-01-17,261
2022-01-24,345
2022-01-31,370
2022-02-07,344
2022-02-14,303
2022-02-21,364
2022-02-28,302
2022-03-07,355
2022-03-14,367
2022-03-21,377
2022-03-28,385
2022-04-04,324
2022-04-11,346
2022-04-18,297
2022-04-25,324
2022-05-02,339
2022-05-09,291
2022-05-16,343
2022-05-23,337
2022-05-30,331
2022-06-06,349
2022-06-13,437
2022-06-20,392
2022-06-27,429
2022-07-04,395
2022-07-11,408
2022-07-18,392
2022-07-25,363
2022-08-01,405
2022-08-08,397
2022-08-15,373
2022-08-22,383
2022-08-29,488
2022-09-05,506
2022-09-12,497
2022-09-19,435
2022-09-26,492
2022-10-03,462
2022-10-10,473
2022-10-17,389
2022-10-24,406
2022-10-31,380
2022-11-07,387
2022-11-14,463
2022-11-21,411
2022-11-28,366
2022-12-05,357
2022-12-12,450
2022-12-19,447
2022-12-26,447
2023-01-02,514
2023-01-09,424
2023-01-16,446
2023-01-23,389
2023-01-30,354
2023-02-06,388
2023-02-13,338
2023-02-20,354
2023-02-27,406
2023-03-06,447
2023-03-13,386
2023-03-20,384
2023-03-27,297
2023-04-03,355
2023-04-10,264
2023-04-17,311
2023-04-24,316
2023-05-01,340
2023-05-08,294
2023-05-15,296
2023-05-22,275
2023-05-29,298
2023-06-05,398
2023-06-12,437
2023-06-19,406
2023-06-26,456
2023-07-03,416
2023-07-10,395
2023-07-17,424
2023-07-24,410
2023-07-31,432
2023-08-07,471
2023-08-14,391
2023-08-21,528
2023-08-28,384
2023-09-04,374
2023-09-11,315
2023-09-18,343
2023-09-25,369
2023-10-02,385
2023-10-09,347
2023-10-16,338
2023-10-23,319
2023-10-30,290
2023-11-06,308
2023-11-13,229
2023-11-20,202
2023-11-27,282
2023-12-04,298
2023-12-11,324
2023-12-18,266
2023-12-25,315
2024-01-01,324
2024-01-08,278
2024-01-15,299
2024-01-22,266
2024-01-29,262
2024-02-05,277
2024-02-12,316
2024-02-19,308
2024-02-26,311
2024-03-04,307
2024-03-11,247
2024-03-18,310
2024-03-25,272
2024-04-01,290
2024-04-08,207
2024-04-15,246
2024-04-22,234
2024-04-29,252
2024-05-06,253
2024-05-13,236
2024-05-20,265
2024-05-27,249
2024-06-03,243
2024-06-10,265
2024-06-17,283
2024-06-24,243
2024-07-01,258
