Model,fold,train_size,val_window,mae,rmse
Naive,1,221,2023-04-03 to 2023-05-22,20.25,24.35
Naive,2,229,2023-05-29 to 2023-07-17,19.38,24.42
Naive,3,237,2023-07-24 to 2023-09-11,46.0,89.27
Naive,4,245,2023-09-18 to 2023-11-06,13.38,16.58
Naive,5,253,2023-11-13 to 2024-01-01,16.5,21.49
Naive,Mean (SD),237,5 Backtest Folds,23.10 (13.08),35.22 (30.38)
AR(8),1,221,2023-04-03 to 2023-05-22,27.04,32.64
AR(8),2,229,2023-05-29 to 2023-07-17,20.22,27.7
AR(8),3,237,2023-07-24 to 2023-09-11,56.23,98.07
AR(8),4,245,2023-09-18 to 2023-11-06,12.65,16.66
AR(8),5,253,2023-11-13 to 2024-01-01,25.16,27.2
AR(8),Mean (SD),237,5 Backtest Folds,28.26 (16.60),40.45 (32.73)
"ARIMA(0, 1, 1)",1,221,2023-04-03 to 2023-05-22,24.26,28.93
"ARIMA(0, 1, 1)",2,229,2023-05-29 to 2023-07-17,19.33,25.62
"ARIMA(0, 1, 1)",3,237,2023-07-24 to 2023-09-11,49.84,93.95
"ARIMA(0, 1, 1)",4,245,2023-09-18 to 2023-11-06,22.99,26.86
"ARIMA(0, 1, 1)",5,253,2023-11-13 to 2024-01-01,14.98,20.92
"ARIMA(0, 1, 1)",Mean (SD),237,5 Backtest Folds,26.28 (13.66),39.26 (30.72)
